STN,YYYYMMDD,FHX,FHN,FXX
270,20150101,100,40,180
270,20150102,120,80,190
270,20150103,80,40,130
270,20150104,80,20,160
270,20150105,60,30,100
270,20150106,50,30,100
270,20150107,100,20,160
270,20150108,100,30,160
270,20150109,130,40,230
270,20150110,130,100,230
270,20150111,120,70,210
270,20150112,120,20,210
270,20150113,100,30,180
270,20150114,80,40,160
270,20150115,120,60,180
270,20150116,110,30,180
270,20150117,70,20,140
270,20150118,70,10,110
270,20150119,30,10,50
270,20150120,30,10,60
270,20150121,40,20,60
270,20150122,60,10,80
270,20150123,80,10,130
270,20150124,80,30,130
270,20150125,40,20,60
270,20150126,70,30,160
270,20150127,70,30,150
270,20150128,120,50,190
270,20150129,90,10,170
270,20150130,50,0,80
270,20150131,40,20,100
270,20150201,70,10,130
270,20150202,70,20,140
270,20150203,50,10,90
270,20150204,50,0,90
270,20150205,50,10,80
270,20150206,60,0,90
270,20150207,90,10,140
270,20150208,110,30,170
270,20150209,80,50,120
270,20150210,60,10,80
270,20150211,30,10,60
270,20150212,40,10,70
270,20150213,60,30,100
270,20150214,60,30,90
270,20150215,70,20,120
270,20150216,40,10,60
270,20150217,70,10,100
270,20150218,70,20,120
270,20150219,90,50,160
270,20150220,80,10,130
270,20150221,60,20,110
270,20150222,120,20,190
270,20150223,110,40,190
270,20150224,100,40,160
270,20150225,50,10,80
270,20150226,90,20,140
270,20150227,70,10,100
270,20150228,100,30,170
270,20150301,130,50,200
270,20150302,120,70,210
270,20150303,70,30,130
270,20150304,110,40,160
270,20150305,70,20,90
270,20150306,80,30,110
270,20150307,80,50,130
270,20150308,90,40,120
270,20150309,50,0,90
270,20150310,80,20,110
270,20150311,40,10,60
270,20150312,60,20,100
270,20150313,70,20,110
270,20150314,80,40,120
270,20150315,70,40,110
270,20150316,70,30,100
270,20150317,60,10,80
270,20150318,60,10,80
270,20150319,70,30,90
270,20150320,50,20,90
270,20150321,100,30,160
270,20150322,70,10,110
270,20150323,60,20,100
270,20150324,50,10,80
270,20150325,60,20,90
270,20150326,80,20,130
270,20150327,100,20,160
270,20150328,90,20,140
270,20150329,130,60,200
270,20150330,120,60,210
270,20150331,170,90,310
270,20150401,120,60,190
270,20150402,120,40,220
270,20150403,50,10,90
270,20150404,70,10,120
270,20150405,50,20,80
270,20150406,60,10,80
270,20150407,70,0,100
270,20150408,40,10,70
270,20150409,40,10,60
270,20150410,50,0,80
270,20150411,120,20,190
270,20150412,130,30,200
270,20150413,70,20,110
270,20150414,100,20,130
270,20150415,90,30,130
270,20150416,50,10,80
270,20150417,70,20,110
270,20150418,60,10,90
270,20150419,50,10,80
270,20150420,60,10,90
270,20150421,70,20,110
270,20150422,90,30,140
270,20150423,40,10,70
270,20150424,60,0,100
270,20150425,80,20,120
270,20150426,70,10,100
270,20150427,70,0,100
270,20150428,90,10,150
270,20150429,80,20,150
270,20150430,100,30,150
270,20150501,60,10,90
270,20150502,60,0,90
270,20150503,70,50,140
270,20150504,90,10,140
270,20150505,140,40,230
270,20150506,130,40,220
270,20150507,100,10,170
270,20150508,50,10,80
270,20150509,130,50,200
270,20150510,80,10,130
270,20150511,80,20,130
270,20150512,90,20,150
270,20150513,70,30,110
270,20150514,60,20,90
270,20150515,50,20,90
270,20150516,100,20,140
270,20150517,90,20,140
270,20150518,100,30,160
270,20150519,100,20,180
270,20150520,90,30,120
270,20150521,70,20,100
270,20150522,60,20,90
270,20150523,70,20,100
270,20150524,50,10,80
270,20150525,60,20,100
270,20150526,80,20,120
270,20150527,60,10,100
270,20150528,90,20,150
270,20150529,110,20,160
270,20150530,90,20,140
270,20150531,80,30,160
270,20150601,80,20,130
270,20150602,130,60,220
270,20150603,90,10,140
270,20150604,60,10,120
270,20150605,50,10,140
270,20150606,80,20,120
270,20150607,60,10,100
270,20150608,70,20,110
270,20150609,60,30,100
270,20150610,80,30,120
270,20150611,80,20,110
270,20150612,70,20,90
270,20150613,90,20,160
270,20150614,60,10,90
270,20150615,70,20,110
270,20150616,50,10,80
