# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 310:         3.596       51.442       8.00  VLISSINGEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVX      = Maximum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# 
# STN,YYYYMMDD,  VVX
# 
  310,20150101,   69
  310,20150102,   72
  310,20150103,   70
  310,20150104,   75
  310,20150105,   62
  310,20150106,   70
  310,20150107,   72
  310,20150108,   68
  310,20150109,   61
  310,20150110,   77
  310,20150111,   69
  310,20150112,   68
  310,20150113,   73
  310,20150114,   80
  310,20150115,   73
  310,20150116,   75
  310,20150117,   81
  310,20150118,   66
  310,20150119,   75
  310,20150120,   75
  310,20150121,   64
  310,20150122,   58
  310,20150123,   59
  310,20150124,   76
  310,20150125,   65
  310,20150126,   75
  310,20150127,   70
  310,20150128,   77
  310,20150129,   75
  310,20150130,   80
  310,20150131,   75
  310,20150201,   75
  310,20150202,   75
  310,20150203,   80
  310,20150204,   75
  310,20150205,   80
  310,20150206,   76
  310,20150207,   75
  310,20150208,   62
  310,20150209,   65
  310,20150210,   75
  310,20150211,   65
  310,20150212,   59
  310,20150213,   74
  310,20150214,   70
  310,20150215,   61
  310,20150216,   28
  310,20150217,   69
  310,20150218,   69
  310,20150219,   60
  310,20150220,   65
  310,20150221,   75
  310,20150222,   80
  310,20150223,   75
  310,20150224,   70
  310,20150225,   67
  310,20150226,   65
  310,20150227,   75
  310,20150228,   75
  310,20150301,   65
  310,20150302,   75
  310,20150303,   75
  310,20150304,   76
  310,20150305,   73
  310,20150306,   80
  310,20150307,   77
  310,20150308,   66
  310,20150309,   70
  310,20150310,   68
  310,20150311,   80
  310,20150312,   81
  310,20150313,   71
  310,20150314,   75
  310,20150315,   70
  310,20150316,   63
  310,20150317,   57
  310,20150318,   50
  310,20150319,   56
  310,20150320,   57
  310,20150321,   75
  310,20150322,   82
  310,20150323,   63
  310,20150324,   65
  310,20150325,   75
  310,20150326,   69
  310,20150327,   70
  310,20150328,   75
  310,20150329,   67
  310,20150330,   76
  310,20150331,   71
  310,20150401,   70
  310,20150402,   81
  310,20150403,   75
  310,20150404,   80
  310,20150405,   82
  310,20150406,   75
  310,20150407,   81
  310,20150408,   64
  310,20150409,   59
  310,20150410,   62
  310,20150411,   75
  310,20150412,   81
  310,20150413,   83
  310,20150414,   75
  310,20150415,   81
  310,20150416,   83
  310,20150417,   81
  310,20150418,   82
  310,20150419,   82
  310,20150420,   80
  310,20150421,   82
  310,20150422,   75
  310,20150423,   65
  310,20150424,   69
  310,20150425,   74
  310,20150426,   75
  310,20150427,   82
  310,20150428,   80
  310,20150429,   82
  310,20150430,   80
  310,20150501,   81
  310,20150502,   80
  310,20150503,   75
  310,20150504,   80
  310,20150505,   80
  310,20150506,   75
  310,20150507,   71
  310,20150508,   79
  310,20150509,   75
  310,20150510,   75
  310,20150511,   80
  310,20150512,   73
  310,20150513,   82
  310,20150514,   82
  310,20150515,   80
  310,20150516,   80
  310,20150517,   82
  310,20150518,   75
  310,20150519,   80
  310,20150520,   81
  310,20150521,   80
  310,20150522,   69
  310,20150523,   73
  310,20150524,   83
  310,20150525,   82
  310,20150526,   83
  310,20150527,   75
  310,20150528,   82
  310,20150529,   79
  310,20150530,   83
  310,20150531,   80
  310,20150601,   81
  310,20150602,   73
  310,20150603,   73
  310,20150604,   73
  310,20150605,   80
  310,20150606,   80
  310,20150607,   80
  310,20150608,   80
  310,20150609,   80
  310,20150610,   79
  310,20150611,   83
  310,20150612,   82
  310,20150613,   75
  310,20150614,   72
  310,20150615,   81
  310,20150616,   82
  310,20150617,   78
  310,20150618,   80
  310,20150619,   80
  310,20150620,   83
  310,20150621,   71
  310,20150622,   80
  310,20150623,   80
  310,20150624,   81
  310,20150625,   83
  310,20150626,   83
  310,20150627,   76
  310,20150628,   83
  310,20150629,   82
  310,20150630,   82
  310,20150701,   83
  310,20150702,   80
  310,20150703,   80
  310,20150704,   76
  310,20150705,   75
  310,20150706,   82
  310,20150707,   76
  310,20150708,   75
  310,20150709,   82
  310,20150710,   83
  310,20150711,   81
  310,20150712,   70
  310,20150713,   70
  310,20150714,   70
  310,20150715,   70
  310,20150716,   80
  310,20150717,   75
  310,20150718,   83
  310,20150719,   80
  310,20150720,   70
  310,20150721,   80
  310,20150722,   80
  310,20150723,   82
  310,20150724,   82
  310,20150725,   80
  310,20150726,   81
  310,20150727,   66
  310,20150728,   72
  310,20150729,   83
  310,20150730,   75
  310,20150731,   83
  310,20150801,   83
  310,20150802,   82
  310,20150803,   81
  310,20150804,   75
  310,20150805,   82
  310,20150806,   75
  310,20150807,   81
  310,20150808,   83
  310,20150809,   80
  310,20150810,   83
  310,20150811,   82
  310,20150812,   80
  310,20150813,   70
  310,20150814,   75
  310,20150815,   75
  310,20150816,   83
  310,20150817,   80
  310,20150818,   75
  310,20150819,   80
  310,20150820,   75
  310,20150821,   82
  310,20150822,   82
  310,20150823,   80
  310,20150824,   75
  310,20150825,   80
  310,20150826,   80
  310,20150827,   70
  310,20150828,   80
  310,20150829,   81
  310,20150830,   66
  310,20150831,   70
  310,20150901,   80
  310,20150902,   83
  310,20150903,   80
  310,20150904,   80
  310,20150905,   80
  310,20150906,   82
  310,20150907,   80
  310,20150908,   80
  310,20150909,   82
  310,20150910,   83
  310,20150911,   80
  310,20150912,   75
  310,20150913,   78
  310,20150914,   75
  310,20150915,   78
  310,20150916,   75
  310,20150917,   75
  310,20150918,   75
  310,20150919,   82
  310,20150920,   81
  310,20150921,   80
  310,20150922,   75
  310,20150923,   80
  310,20150924,   70
