countryName,countryCode,GHGT,METH,CO2E,GHGO,NOXE
Afghanistan,AFG,12528.0165,7627.58,2614.571,160,2748.1965
Albania,ALB,11112.72956,2546.96,5309.816,612.50426,1560.1153
Algeria,DZA,106445.8175,32299.4,77942.085,333.0415,4256.176
American Samoa,ASM,20.3813783,8.84112,..,1.33E-15,0.9076583
Andorra,ADO,..,..,..,..,0.01569282
Angola,AGO,50806.54269,22056.4,5115.465,7.3846914,17723.258
Antigua and Barbuda,ATG,372.28777,35.5108,300.694,0.00131,16.73566
Argentina,ARG,266555.03,102083,112613.57,19099.98,38519.05
Armenia,ARM,24729.9166,2889.7,..,116.028,805.0886
Aruba,ABW,642.997262,15.1768,1730.824,2.13E-14,11.823462
Australia,AUS,482298.262,115150,263704.971,29933.842,62893.42
Austria,AUT,79836.956,10029.3,57685.577,1725.9,5312.656
Azerbaijan,AZE,78096.61988,11458.5,..,251.00588,2665.814
"Bahamas, The",BHS,3593.57477,141.46,1950.844,120,59.66477
Bahrain,BHR,17050.70875,1800.13,12427.463,2540,72.57875
Bangladesh,BGD,126701.696,87092.7,15533.412,10206.99,16201.406
Barbados,BRB,1199.66709,128.619,1074.431,-9.95E-14,69.94809
Belarus,BLR,185411.7606,18649.3,..,41517.5916,20146.869
Belgium,BEL,137872.522,12445,106049.64,485.468,9828.054
Belize,BLZ,632.71626,169.855,311.695,40,129.71826
Benin,BEN,47187.972,5119.5,707.731,37916.8,3732.524
Bermuda,BMU,652.962347,24.0812,594.054,4,14.199147
Bhutan,BTN,1280.14329,918.942,128.345,2.84E-14,178.79529
Bolivia,BOL,192645.695,22435.9,5471.164,149126.9,14607.045
Bosnia and Herzegovina,BIH,31318.60314,4589.45,..,967.00304,1259.7501
Botswana,BWA,13373.085,6074.01,2702.579,400,5394.465
Brazil,BRA,1606209.334,319678,208886.988,911085.364,156824.97
British Virgin Islands,VGB,72.916993,15.1515,66.006,1.78E-15,5.713393
Brunei Darussalam,BRN,18366.774,3611.25,6193.563,10734.09,571.144
Bulgaria,BGR,108086.0268,15675.5,75763.887,218.2008,9273.526
Burkina Faso,BFA,12151.01,7238.16,583.053,200,4201.926
Burundi,BDI,2798.9396,1716.43,293.36,66.3,672.7806
Cabo Verde,CPV,208.23803,83.2303,95.342,7.11E-15,44.05813
Cambodia,KHM,19521.916,15115.7,1485.135,4.55E-13,3888.144
Cameroon,CMR,97554.79,15980.2,1738.158,63559.4,10460.33
Canada,CAN,608685,77163.5,435181.225,37324.2,46075.3
Cayman Islands,CYM,297.396063,17.5904,253.023,4,6.927663
Central African Republic,CAF,146226.244,42252.8,198.018,52704.9,50989.73
Chad,TCD,18338.288,10037.6,146.68,20,8055.722
Channel Islands,CHI,..,..,..,..,..
Chile,CHL,54730.277,11988.5,33314.695,902.948,5293.529
China,CHN,3892675.16,1016910,2460744.017,61863.8604,340451.3
Colombia,COL,174396.943,50252.4,57337.212,51792.852,20313.091
Comoros,COM,294.3718926,181.068,62.339,3.26E-05,41.99446
"Congo, Dem. Rep.",ZAR,1376921.73,98339.5,4070.37,1188024,87164.87
"Congo, Rep.",COG,63552.8404,7194.2,1188.108,49744.3004,4351.47
Costa Rica,CRI,8593.78662,3768.53,2955.602,40.00522,1859.0514
Cote d'Ivoire,CIV,152200.604,12146.2,5768.191,129464.6,7618.064
Croatia,HRV,34734.33116,4165.94,..,892.50516,4733.886
Cuba,CUB,57043.9724,12062.1,33494.378,3867.3544,9705.418
Curacao,CUW,..,..,..,..,..
Cyprus,CYP,5130.35771,440.832,4374.731,0.0354,240.25031
Czech Republic,CZE,196206.7838,18247.2,..,490.1488,10009.435
Denmark,DNK,72484.035,7981.26,50230.566,3113.438,8290.237
Djibouti,DJI,1821.59311,417.598,322.696,60,186.95511
Dominica,DMA,130.666114,36.3508,58.672,4,24.675814
Dominican Republic,DOM,17001.1508,6003.02,9229.839,515.64,2129.9108
Ecuador,ECU,30859.4911,10987.2,16827.863,930.2271,3194.364
"Egypt, Arab Rep.",EGY,139101.6501,26993.4,75943.57,2067.5281,19066.922
El Salvador,SLV,6685.708201,2672.94,2511.895,80.000101,1337.1881
Equatorial Guinea,GNQ,243.380047,117.684,121.011,8,18.067947
Eritrea,ERI,3335.2411,2070.55,..,2.27E-13,1030.5981
Estonia,EST,55787.31741,3407.55,..,13928.17941,1991.688
Ethiopia,ETH,67300.58055,39981.3,3017.941,350.000553,25278.64
Faroe Islands,FRO,51.384864,33.1291,616.056,10.5,6.267394
Fiji,FJI,2328.8648,635.201,817.741,80,354.3238
Finland,FIN,75555.06141,10068.6,51745.037,629.33141,7812.93
France,FRA,554685.28,75749.5,375632.812,12247.5,73869.28
French Polynesia,PYF,1014.46011,70.6834,498.712,4,36.77871
Gabon,GAB,12276.85768,3478.5,4499.409,4100.75162,307.15606
"Gambia, The",GMB,1189.5885,614.322,190.684,80,331.1575
Georgia,GEO,38220.5924,5035.23,..,210.0047,2928.1577
Germany,DEU,1256074.03,115486,..,48060,71118.03
Ghana,GHA,29495.58297,7924.72,3817.347,13283.94097,5101.422
Gibraltar,GIB,159.451771,4.88389,143.013,1.95E-14,4.629881
Greece,GRC,96659.0445,7734.43,74278.752,2510.4675,8011.547
Greenland,GRL,201.3813,23.6707,553.717,0,175.7731
Grenada,GRD,157.901249,24.7507,106.343,1.782,9.832549
Guam,GUM,60.1849157,46.4886,..,4,1.2857157
Guatemala,GTM,14907.3608,4798.37,5086.129,3678.64,2494.7808
Guinea,GIN,65170.672,8713.64,1056.096,49423.2,5750.872
Guinea-Bissau,GNB,1628.8117,861.628,172.349,20,527.0527
Guyana,GUY,16735.4609,1256.15,1133.103,12731.03,2058.7999
Haiti,HTI,5356.9867,3307.79,993.757,4,910.3367
Honduras,HND,13722.119,3971.38,2592.569,4991.31,2427.579
