countryName,countryCode,GHGT,METH,NOXE,CO2E,GHGO
Afghanistan,AFG,18168.8632,13763.166,3423.68712,20454.526,349
Albania,ALB,8898.640911,2644.2174,1146.044766,4712.095,153.0386
Algeria,DZA,176471.2268,48527.01,6382.0227,129987.816,1008.072
American Samoa,ASM,58.76551929,13.11516,23.688123,..,7.11E-15
Andorra,ADO,..,..,0.01569282,491.378,..
Angola,AGO,41657.16485,18974.448,3641.26434,33399.036,547.081
Antigua and Barbuda,ATG,552.7479143,43.273398,25.8613656,524.381,9.81
Argentina,ARG,380295.3204,88476.432,53101.3632,192359.819,38286.6
Armenia,ARM,12319.38961,3425.678014,1022.809422,5694.851,709.543
Aruba,ABW,413.0355513,23.195514,6.48877182,1301.785,1.42E-14
Australia,AUS,761686.2739,125588.1936,54247.47571,375456.796,174653
Austria,AUT,90460.21029,8006.813544,3789.944637,62247.325,3249
Azerbaijan,AZE,56537.08178,19955.36354,2672.568238,35555.232,1141.85
"Bahamas, The",BHS,4865.206767,226.62462,130.927353,1917.841,12.7912
Bahrain,BHR,32849.10573,3378.5256,131.2571496,29086.644,320
Bangladesh,BGD,183300.5624,105141.6,26682.82158,67480.134,1328.77
Barbados,BRB,1540.615709,109.38786,58.678815,1470.467,2.84E-14
Belarus,BLR,109647.2388,16619.66131,13905.15018,63222.747,553.0232
Belgium,BEL,133373.684,9243.348927,8502.953829,92195.714,2779.5
Belize,BLZ,1569.858503,228.49122,200.2156266,480.377,164
Benin,BEN,33533.09673,6982.5426,4866.60258,5511.501,17453
Bermuda,BMU,632.8769921,30.959958,20.85800652,443.707,3.20E-14
Bhutan,BTN,3296.963725,1769.6796,555.02586,817.741,488.463
Bolivia,BOL,621726.7268,23231.418,9732.60438,18793.375,574759
Bosnia and Herzegovina,BIH,27108.4002,3140.172,1123.740018,22258.69,896.8828
Botswana,BWA,82110.27676,4448.169,2228.56179,4448.071,70325.5
Brazil,BRA,2989417.957,477076.7946,214529.1221,470028.726,1816130
British Virgin Islands,VGB,126.7835994,19.478838,7.59502914,176.016,5.02E-13
Brunei Darussalam,BRN,14828.96701,4539.3672,342.371874,9651.544,427
Bulgaria,BGR,67942.69563,11793.66449,4645.576644,44873.079,713.4545
Burkina Faso,BFA,43910.40239,14957.178,7366.47978,2629.239,20544
Burundi,BDI,6254.371024,2718.861,789.484998,282.359,488
Cabo Verde,CPV,411.3250113,151.48632,81.4856886,495.045,0
Cambodia,KHM,127399.5869,35914.914,16685.36808,5456.496,73300
Cameroon,CMR,100922.1362,18516.366,13900.27848,6127.557,61271.7
Canada,CAN,1027063.855,106846.7743,33413.52724,481601.778,339329
Cayman Islands,CYM,448.8809384,28.722792,13.86698262,542.716,1.60E-14
Central African Republic,CAF,515134.0786,85676.838,100651.5192,293.36,328214
Chad,TCD,109796.02,18363.876,14862.85452,542.716,76349.1
Channel Islands,CHI,..,..,..,..,..
Chile,CHL,120687.8924,18380.502,8949.18726,80974.694,1739.248
China,CHN,12454710.61,1752290.14,587166.3655,10020744.89,251254.1
